from,to,twt_count,flwrs_count,ret_cnt,max_flwrs,hr
09:59:06,10:59:06,7,2954,2,1364,09
12:29:14,13:29:14,12277,41702801,498,3305624,12
13:29:25,14:29:25,220,449806,1,45937,13
14:34:19,15:34:19,191,1066381,1,320334,14
15:34:31,16:34:31,139,273226,3,35936,15
16:41:01,17:41:01,41,111200,4,36489,16
17:43:58,18:43:58,412,1490956,5,320334,17
18:44:04,19:44:04,146,240131,1,36489,18
19:46:50,20:46:50,179,670815,2,177434,19
20:47:05,21:47:05,114,324732,1,92610,20
07:46:52,08:46:52,2135,7636954,60,2558472,07
08:46:53,09:46:53,273,521182,2,88154,08
09:53:55,10:53:55,747,3017016,28,582890,09
10:55:44,11:55:44,664,7783744,28,4721206,10
12:04:01,13:04:01,3069,8395472,27,665769,12
13:04:04,14:04:04,1167,2500453,16,193919,13
14:17:51,15:17:51,1388,3668961,26,267675,14
15:18:44,16:18:44,5546,20019613,261,4721903,15
17:01:39,18:01:39,926,2792567,14,651795,17
19:31:39,20:31:39,5397,21226719,136,4721903,19
01:24:05,02:24:05,2563,6764790,28,426318,01
02:47:40,03:47:40,343,956804,1,308512,02
03:48:55,04:48:55,186,394765,2,39730,03
04:49:13,05:49:13,226,805312,11,118208,04
05:49:16,06:49:16,112,901718,15,508706,05
12:04:56,13:04:56,1270,7143003,19,1170920,12
21:39:56,22:39:56,905,2840098,18,320335,21
22:44:31,23:44:31,2393,8068622,32,1300901,22
23:46:16,00:46:16,96,86217,0,5395,23
00:47:11,01:47:11,101,195425,0,17186,00
01:48:12,02:48:12,100,259099,0,80638,01
02:49:16,03:49:16,87,77497,0,7604,02
03:49:42,04:49:42,97,316086,0,48521,03
04:49:54,05:49:54,90,208002,4,27122,04
05:50:21,06:50:21,85,235372,2,62632,05
06:50:49,07:50:49,9,9640,0,2693,06
21:11:06,22:11:06,921,5264511,15,1237838,21
15:08:51,16:08:51,11746,33856221,878,4900781,15
15:59:49,16:59:49,4458,11329374,39,597904,15
05:24:13,06:24:13,404,6694584,10,4721701,05
10:03:56,11:03:56,129773,704387793,10005,9623882,10
11:04:05,12:04:05,1228,5132228,19,1231800,11
12:04:06,13:04:06,1523,6250161,20,702289,12
13:04:07,14:04:07,1231,4510004,10,494835,13
14:04:08,15:04:08,1501,15549544,10,6014382,14
15:04:11,16:04:11,1327,13480497,3,5870465,15
16:04:13,17:04:13,1087,3786524,3,494835,16
17:04:17,18:04:17,949,4518901,2,1037236,17
18:04:29,19:04:29,1045,2426790,6,110621,18
19:04:35,20:04:35,771,3816397,2,1084185,19
20:04:36,21:04:36,775,5329656,4,3329932,20
21:04:37,22:04:37,706,1953643,0,363249,21
22:04:38,23:04:38,595,1758611,1,284931,22
23:04:43,00:04:43,468,3526957,2,948920,23
00:05:04,01:05:04,411,2641154,1,1231800,00
01:05:07,02:05:07,377,2246766,0,1354526,01
02:05:08,03:05:08,419,4268679,0,3329937,02
03:05:09,04:05:09,395,1743154,0,578967,03
04:05:14,05:05:14,518,3814858,4,2266874,04
05:05:15,06:05:15,647,4281297,5,2266874,05
06:05:18,07:05:18,713,5357596,10,2266874,06
07:05:23,08:05:23,797,3409294,12,1110310,07
08:05:32,09:05:32,1048,8021531,10,2266874,08
09:05:35,10:05:35,1021,6755222,8,2538424,09
10:05:36,11:05:36,1071,3777584,4,708800,10
11:05:44,12:05:44,972,6775537,4,2538424,11
12:05:46,13:05:46,1092,5381418,4,2266890,12
13:05:59,14:05:59,951,3256020,3,284931,13
14:06:09,15:06:09,650,2137499,72,159696,14
15:06:13,16:06:13,1021,3867767,17,300864,15
16:06:20,17:06:20,716,3465447,18,320335,16
17:06:26,18:06:26,747,3922843,21,1784318,17
18:06:39,19:06:39,457,999984,31,52980,18
19:06:40,20:06:40,212,535834,22,121421,19
20:06:54,21:06:54,494,1167073,13,173006,20
21:07:15,22:07:15,499,1147634,13,110621,21
22:07:33,23:07:33,368,1024001,8,320335,22
23:09:41,00:09:41,296,2354984,9,1784318,23
00:09:54,01:09:54,282,473535,2,24868,00
01:10:08,02:10:08,222,569150,3,46322,01
02:10:09,03:10:09,247,457512,3,16559,02
03:10:12,04:10:12,273,1120964,3,121993,03
04:10:13,05:10:13,354,955148,2,121421,04
05:10:16,06:10:16,426,1379905,8,128233,05
06:12:08,07:12:08,541,1897210,8,381552,06
07:12:11,08:12:11,745,1747069,18,111866,07
08:12:23,09:12:23,780,2934381,21,579336,08
09:12:33,10:12:33,933,4052059,25,708801,09
10:12:38,11:12:38,780,2104201,24,159696,10
11:12:45,12:12:45,736,2394544,7,285833,11
12:12:59,13:12:59,586,3812241,49,578967,12
13:13:01,14:13:01,761,4917370,15,2538458,13
14:13:05,15:13:05,658,2372271,16,320335,14
15:13:06,16:13:06,779,2650555,18,578967,15
16:13:09,17:13:09,520,1929039,14,320335,16
17:13:32,18:13:32,548,1903807,15,494835,17
18:13:46,19:13:46,539,1862269,9,320335,18
19:13:54,20:13:54,476,1222337,15,91814,19
20:14:07,21:14:07,271,523299,5,51055,20
21:15:28,22:15:28,711,1450637,5,78967,21
22:15:40,23:15:40,411,1303787,2,284931,22
23:17:03,00:17:03,316,653505,1,32103,23
00:17:09,01:17:09,263,4235717,1,3273864,00
01:17:45,02:17:45,244,665708,3,51055,01
02:18:55,03:18:55,218,383658,3,12236,02
03:19:22,04:19:22,246,736712,4,155451,03
04:19:52,05:19:52,416,3591421,5,2538458,04
05:20:01,06:20:01,375,1034679,5,121421,05
06:20:07,07:20:07,550,1149348,15,62450,06
07:20:08,08:20:08,540,2236769,10,320335,07
08:20:10,09:20:10,640,1579752,34,148718,08
09:20:11,10:20:11,616,2209210,17,168071,09
10:20:15,11:20:15,638,2214038,16,320335,10
11:20:35,12:20:35,758,2797030,14,381552,11
12:20:41,13:20:41,701,2289342,16,148718,12
13:20:52,14:20:52,492,1278088,14,121421,13
15:17:32,16:17:32,1364,4512364,32,320335,15
16:17:35,17:17:35,621,1508428,27,99314,16
17:17:37,18:17:37,545,2549440,16,494835,17
18:17:38,19:17:38,591,1253614,8,114845,18
19:17:56,20:17:56,266,810087,18,68788,19
20:17:57,21:17:57,477,872125,6,62279,20
21:18:14,22:18:14,450,1162348,2,284931,21
22:18:24,23:18:24,205,446420,7,32103,22
23:20:17,00:20:17,258,1272969,4,723735,23
00:20:18,01:20:18,295,618554,0,35537,00
01:23:06,02:23:06,257,666867,0,66893,01
02:23:32,03:23:32,305,550990,1,51055,02
03:24:02,04:24:02,301,841731,0,51055,03
04:24:06,05:24:06,406,1069638,4,121993,04
05:25:02,06:25:02,254,832773,9,121421,05
06:25:05,07:25:05,691,3352915,6,855174,06
07:25:07,08:25:07,744,1745583,10,121421,07
08:25:08,09:25:08,768,3436358,4,855174,08
09:25:13,10:25:13,827,2886195,6,494835,09
10:25:14,11:25:14,1005,2915516,2,320335,10
11:25:15,12:25:15,1210,4012934,3,494835,11
12:27:24,13:27:24,977,5498684,2,2266890,12
13:27:35,14:27:35,777,2955853,3,398531,13
14:27:40,15:27:40,855,5262916,3,1377668,14
15:27:42,16:27:42,693,2758787,0,441377,15
16:27:44,17:27:44,604,1868469,1,320335,16
17:27:59,18:27:59,698,2898773,1,1377668,17
18:28:23,19:28:23,619,1974278,2,285833,18
19:28:25,20:28:25,667,1584678,1,284931,19
20:29:04,21:29:04,712,952113,1,51055,20
21:29:05,22:29:05,428,974493,1,92234,21
22:29:07,23:29:07,306,736447,2,51055,22
23:29:20,00:29:20,141,338211,1,51055,23
02:55:24,03:55:24,1,979,0,979,02
04:13:52,05:13:52,2,366,0,342,04
05:43:11,06:43:11,1,209,0,209,05
07:00:05,08:00:05,2,1394,0,1057,07
08:21:12,09:21:12,3,5071,0,2383,08
