from,to,twt_count,flwrs_count,ret_cnt,max_flwrs,hr
08:43:50,09:43:50,368,5529660,4,2324908,08
09:43:58,10:43:58,307,4659561,1,2324908,09
10:44:03,11:44:03,336,6346427,0,1893811,10
11:44:05,12:44:05,441,7733329,2,5870465,11
12:44:13,13:44:13,315,3827155,1,1511420,12
13:45:05,14:45:05,328,4934025,2,2574315,13
14:45:28,15:45:28,258,8355460,0,6014343,14
15:45:46,16:45:46,245,4346442,1,3046516,15
16:46:16,17:46:16,237,2699458,0,2362311,16
17:46:19,18:46:19,566,1563958,0,734618,17
18:46:56,19:46:56,207,790574,0,111594,18
19:47:44,20:47:44,239,3500531,0,2324908,19
20:48:04,21:48:04,229,4883269,0,4507146,20
21:49:11,22:49:11,140,392944,0,109528,21
22:49:24,23:49:24,130,1484936,0,599655,22
23:49:26,00:49:26,23,16782,0,2928,23
01:00:39,02:00:39,2,1291,0,1140,01
02:08:04,03:08:04,1,1759,0,1759,02
03:30:45,04:30:45,2,342,0,342,03
05:43:11,06:43:11,2,1578,1,1369,05
06:45:39,07:45:39,4,3948,0,2085,06
08:06:55,09:06:55,3,1918,0,1514,08
