from,to,twt_count,flwrs_count,ret_cnt,max_flwrs,date_hr,hr,favorite,momentum,accel,peak
2015-01-27-17-00-20,2015-01-27-18-00-20,152,1430950,1187,743026,2015-01-27-17,17,2,4,0,5689630636
2015-01-27-19-01-48,2015-01-27-20-01-48,396,1331684,860,154840,2015-01-27-19,19,16,10,-15,9956872493
2015-01-27-20-42-56,2015-01-27-21-42-56,1066,13134724,1769,7293635,2015-01-27-20,20,11,21,0,24181075638
2015-01-27-22-47-07,2015-01-27-23-47-07,10,6089,12,1997,2015-01-27-22,22,0,0,0,0
2015-01-28-15-54-30,2015-01-28-16-54-30,3,5183,5,3614,2015-01-28-15,15,0,0,0,0
