from,to,twt_count,flwrs_count,ret_cnt,max_flwrs,date_hr,hr,favorite,momentum,accel,peak
2015-01-28-16-00-05,2015-01-28-17-00-05,49,55217,65,12825,2015-01-28-16,16,0,0,0,0
2015-01-28-17-00-07,2015-01-28-18-00-07,72,66514,83,24126,2015-01-28-17,17,1,5,116,4267486817
2015-01-28-18-01-18,2015-01-28-19-01-18,57,35608,61,4877,2015-01-28-18,18,0,0,0,0
2015-01-28-19-03-57,2015-01-28-20-03-57,42,13012,43,2866,2015-01-28-19,19,0,0,0,0
