from,to,twt_count,flwrs_count,ret_cnt,max_flwrs,date_hr,hr,favorite,momentum,accel,peak
2015-01-15-16-23-55,2015-01-15-17-23-55,1,199,7,199,2015-01-15-16,16,0,1,0,1421367839
2015-01-16-20-21-37,2015-01-16-21-21-37,7,18180,72,14335,2015-01-16-20,20,0,4,0,5685400796
2015-01-17-01-29-12,2015-01-17-02-29-12,1,363,2,363,2015-01-17-01,01,0,0,0,0
2015-01-17-04-01-44,2015-01-17-05-01-44,2788,33707922,5995,4552529,2015-01-17-04,04,78,168,518,123657390381
2015-01-17-05-02-54,2015-01-17-06-02-54,13,279426,23,195432,2015-01-17-05,05,14,0,-40,1421500583
2015-01-17-06-07-10,2015-01-17-07-07-10,28,55743,54,21401,2015-01-17-06,06,2,4,61,2843013838
2015-01-17-07-07-45,2015-01-17-08-07-45,29,332525,50,128473,2015-01-17-07,07,0,0,0,0
2015-01-17-08-07-54,2015-01-17-09-07-54,47,299659,75,232404,2015-01-17-08,08,0,2,0,2843024578
2015-01-17-09-11-16,2015-01-17-10-11-16,57,587863,109,338159,2015-01-17-09,09,1,3,5,1421516399
2015-01-17-10-15-46,2015-01-17-11-15-46,46,97593,68,24565,2015-01-17-10,10,0,1,0,1421521259
2015-01-17-11-16-42,2015-01-17-12-16-42,65,376338,170,172327,2015-01-17-11,11,0,2,0,1421524679
2015-01-17-12-17-10,2015-01-17-13-17-10,62,539795,99,338159,2015-01-17-12,12,0,4,-20,2843054362
2015-01-17-13-17-36,2015-01-17-14-17-36,49,208622,85,121303,2015-01-17-13,13,0,3,56,1421530295
2015-01-17-14-19-40,2015-01-17-15-19-40,37,103791,90,33642,2015-01-17-14,14,0,1,0,1421535299
2015-01-17-15-50-09,2015-01-17-16-50-09,70,102404,113,19518,2015-01-17-15,15,1,7,-31,2843078470
2015-01-17-16-50-29,2015-01-17-17-50-29,46,358348,66,314862,2015-01-17-16,16,0,3,0,2843086318
2015-01-17-17-51-29,2015-01-17-18-51-29,62,154429,102,40076,2015-01-17-17,17,3,3,5,2843095618
2015-01-17-18-55-34,2015-01-17-19-55-34,38,373663,46,338159,2015-01-17-18,18,0,0,0,0
2015-01-17-19-56-43,2015-01-17-20-56-43,47,155676,57,87864,2015-01-17-19,19,2,0,0,0
2015-01-17-20-57-43,2015-01-17-21-57-43,52,272544,73,125800,2015-01-17-20,20,0,2,19,2843120518
2015-01-17-21-59-41,2015-01-17-22-59-41,17,16274,19,5184,2015-01-17-21,21,0,0,0,0
2015-01-18-06-34-06,2015-01-18-07-34-06,154,361324,190,83699,2015-01-18-06,06,0,8,182,9951027641
