from,to,twt_count,flwrs_count,ret_cnt,max_flwrs,date_hr,hr
2015-02-03-20-11-11,2015-02-03-21-11-11,588,7718047,1122,1784259,2015-02-03-20,20
2015-02-03-21-11-18,2015-02-03-22-11-18,618,2799896,915,656696,2015-02-03-21,21
2015-02-03-22-11-24,2015-02-03-23-11-24,451,4698439,664,2324908,2015-02-03-22,22
2015-02-03-23-13-07,2015-02-04-00-13-07,327,907987,419,158078,2015-02-03-23,23
2015-02-04-00-13-09,2015-02-04-01-13-09,286,4880625,361,3329958,2015-02-04-00,00
2015-02-04-01-13-26,2015-02-04-02-13-26,560,893839,911,111655,2015-02-04-01,01
2015-02-04-02-13-32,2015-02-04-03-13-32,317,2616672,425,873946,2015-02-04-02,02
2015-02-04-03-14-03,2015-02-04-04-14-03,349,3173999,1307,906933,2015-02-04-03,03
2015-02-04-04-14-07,2015-02-04-05-14-07,407,1704687,607,496740,2015-02-04-04,04
2015-02-04-05-14-11,2015-02-04-06-14-11,497,4696044,723,1248728,2015-02-04-05,05
2015-02-04-06-14-16,2015-02-04-07-14-16,529,14583430,1115,3329968,2015-02-04-06,06
2015-02-04-07-14-19,2015-02-04-08-14-19,647,14810869,1295,5870465,2015-02-04-07,07
2015-02-04-08-14-27,2015-02-04-09-14-27,627,7490355,1153,2362311,2015-02-04-08,08
2015-02-04-09-14-29,2015-02-04-10-14-29,619,3692540,1045,636496,2015-02-04-09,09
2015-02-04-10-14-35,2015-02-04-11-14-35,643,20323325,1586,6014343,2015-02-04-10,10
2015-02-04-11-14-39,2015-02-04-12-14-39,594,10476982,948,4393337,2015-02-04-11,11
2015-02-04-12-14-44,2015-02-04-13-14-44,418,6036877,691,3046510,2015-02-04-12,12
2015-02-04-13-14-48,2015-02-04-14-14-48,503,7039560,920,2362311,2015-02-04-13,13
2015-02-04-14-14-53,2015-02-04-15-14-53,406,18653624,899,6014343,2015-02-04-14,14
2015-02-04-15-14-54,2015-02-04-16-14-54,401,19990432,1581,6014343,2015-02-04-15,15
2015-02-04-16-15-01,2015-02-04-17-15-01,345,4741054,480,3046510,2015-02-04-16,16
2015-02-04-17-15-16,2015-02-04-18-15-16,353,7089850,654,2362311,2015-02-04-17,17
2015-02-04-18-15-21,2015-02-04-19-15-21,291,1271098,459,208568,2015-02-04-18,18
2015-02-04-19-16-01,2015-02-04-20-16-01,302,2621167,551,1206771,2015-02-04-19,19
2015-02-04-20-16-17,2015-02-04-21-16-17,276,3804044,484,3046510,2015-02-04-20,20
2015-02-04-21-16-19,2015-02-04-22-16-19,238,7514837,611,6014343,2015-02-04-21,21
2015-02-04-22-17-01,2015-02-04-23-17-01,215,2900885,304,2362311,2015-02-04-22,22
2015-02-04-23-17-03,2015-02-05-00-17-03,187,1616877,279,1231800,2015-02-04-23,23
2015-02-05-00-17-30,2015-02-05-01-17-30,173,650038,257,143124,2015-02-05-00,00
2015-02-05-01-17-39,2015-02-05-02-17-39,143,337803,214,155380,2015-02-05-01,01
2015-02-05-02-17-54,2015-02-05-03-17-54,141,11013549,328,2947443,2015-02-05-02,02
2015-02-05-03-18-33,2015-02-05-04-18-33,184,5147117,629,2947443,2015-02-05-03,03
2015-02-05-04-20-02,2015-02-05-05-20-02,181,1371563,303,496740,2015-02-05-04,04
2015-02-05-05-21-15,2015-02-05-06-21-15,241,1991601,316,734618,2015-02-05-05,05
2015-02-05-06-21-18,2015-02-05-07-21-18,256,5767340,601,4870708,2015-02-05-06,06
2015-02-05-07-21-26,2015-02-05-08-21-26,307,5013958,564,1281139,2015-02-05-07,07
2015-02-05-08-21-38,2015-02-05-09-21-38,274,6664491,442,6014343,2015-02-05-08,08
2015-02-05-10-29-36,2015-02-05-11-29-36,819,6129764,1326,1458675,2015-02-05-10,10
2015-02-05-11-29-43,2015-02-05-12-29-43,396,3905602,659,1458675,2015-02-05-11,11
2015-02-05-12-29-53,2015-02-05-13-29-53,477,5518871,728,1458284,2015-02-05-12,12
2015-02-05-13-30-03,2015-02-05-14-30-03,285,2526783,655,771029,2015-02-05-13,13
2015-02-05-14-30-17,2015-02-05-15-30-17,253,4192463,516,3046519,2015-02-05-14,14
