from,to,twt_count,flwrs_count,ret_cnt,max_flwrs,date_hr,hr,favorite,momentum,accel,peak
2015-02-02-22-00-03,2015-02-02-23-00-03,125,181846,204,19027,2015-02-02-22,22,0,17,70,1422946079
2015-02-02-23-00-07,2015-02-03-00-00-07,103,262674,135,155419,2015-02-02-23,23,0,8,170,4268843817
2015-02-03-00-00-10,2015-02-03-01-00-10,65,489386,71,421101,2015-02-03-00,00,0,0,0,0
2015-02-03-01-00-13,2015-02-03-02-00-13,60,94070,67,15487,2015-02-03-01,01,0,0,0,0
2015-02-03-02-00-16,2015-02-03-03-00-16,56,52259,65,4844,2015-02-03-02,02,0,2,100,1422958679
