from,to,twt_count,flwrs_count,ret_cnt,max_flwrs,date_hr,hr,favorite,momentum,accel,peak
2015-02-05-12-00-43,2015-02-05-13-00-43,64,127711,67,32613,2015-02-05-12,12,0,0,0,0
2015-02-05-13-02-04,2015-02-05-14-02-04,54,59690,64,7511,2015-02-05-13,13,0,2,100,1423171679
2015-02-05-14-03-37,2015-02-05-15-03-37,68,157315,77,67778,2015-02-05-14,14,0,4,100,1423177199
2015-02-05-15-05-39,2015-02-05-16-05-39,65,53946,68,3325,2015-02-05-15,15,0,4,100,1423184399
2015-02-05-16-06-33,2015-02-05-17-06-33,61,60395,62,3325,2015-02-05-16,16,0,0,0,0
