from,to,twt_count,flwrs_count,ret_cnt,max_flwrs,date_hr,hr,favorite,momentum,accel,peak
2015-02-02-03-00-02,2015-02-02-04-00-02,407,4633001,1517,1488701,2015-02-02-03,03,2,129,552,38417680023
2015-02-02-04-02-20,2015-02-02-05-02-20,612,7833365,977,3102970,2015-02-02-04,04,1,127,1129,46955059651
2015-02-02-05-02-24,2015-02-02-06-02-24,532,15057313,1538,3102970,2015-02-02-05,05,118,154,1975,49800934799
2015-02-02-06-08-01,2015-02-02-07-08-01,833,11549764,1715,1911503,2015-02-02-06,06,120,114,1129,62607035189
2015-02-02-07-13-29,2015-02-02-08-13-29,892,13281546,2293,1911503,2015-02-02-07,07,37,410,2427,110985482026
