from,to,twt_count,flwrs_count,ret_cnt
2015-02-05 14:00,2015-02-05 15:00,253,4192463,14
2015-02-05 15:00,2015-02-05 16:00,279,4476380,15
2015-02-05 16:00,2015-02-05 17:00,256,3120545,12
2015-02-05 17:00,2015-02-05 18:00,231,1403336,8
2015-02-05 18:00,2015-02-05 19:00,160,1118422,13
2015-02-05 19:00,2015-02-05 20:00,185,1496474,10
2015-02-05 20:00,2015-02-05 21:00,206,1888391,4
2015-02-05 21:00,2015-02-05 22:00,184,812621,7
2015-02-05 22:00,2015-02-05 23:00,48,3377951,55
2015-02-05 23:00,2015-02-06 00:00,93,376283,0
2015-02-06 00:00,2015-02-06 01:00,190,607286,1
2015-02-06 01:00,2015-02-06 02:00,145,340879,0
2015-02-06 02:00,2015-02-06 03:00,155,6232119,0
2015-02-06 03:00,2015-02-06 04:00,156,445880,0
2015-02-06 04:00,2015-02-06 05:00,118,1288562,8
2015-02-06 05:00,2015-02-06 06:00,221,4552293,34
2015-02-06 06:00,2015-02-06 07:00,303,1319533,12
2015-02-06 07:00,2015-02-06 08:00,357,11817854,10
2015-02-06 08:00,2015-02-06 09:00,368,5529660,4
2015-02-06 09:00,2015-02-06 10:00,307,4659561,1
2015-02-06 10:00,2015-02-06 11:00,336,6346427,0
2015-02-06 11:00,2015-02-06 12:00,441,7733329,2
2015-02-06 12:00,2015-02-06 13:00,315,3827155,1
2015-02-06 13:00,2015-02-06 14:00,328,4934025,2
2015-02-06 14:00,2015-02-06 15:00,258,8355460,0
2015-02-06 15:00,2015-02-06 16:00,245,4346442,1
2015-02-06 16:00,2015-02-06 17:00,237,2699458,0
2015-02-06 17:00,2015-02-06 18:00,566,1563958,0
2015-02-06 18:00,2015-02-06 19:00,207,790574,0
2015-02-06 19:00,2015-02-06 20:00,239,3500531,0
2015-02-06 20:00,2015-02-06 21:00,229,4883269,0
2015-02-06 21:00,2015-02-06 22:00,140,392944,0
2015-02-06 22:00,2015-02-06 23:00,130,1484936,0
2015-02-06 23:00,2015-02-07 00:00,23,16782,0
2015-02-07 01:00,2015-02-07 02:00,2,1291,0
2015-02-07 02:00,2015-02-07 03:00,1,1759,0
2015-02-07 03:00,2015-02-07 04:00,2,342,0
2015-02-07 05:00,2015-02-07 06:00,2,1578,1
2015-02-07 06:00,2015-02-07 07:00,4,3948,0
2015-02-07 08:00,2015-02-07 09:00,3,1918,0
