from,to,twt_count,flwrs_count,ret_cnt
2015-01-17 09:00,2015-01-17 10:00,7,2954,2
2015-01-17 12:00,2015-01-17 13:00,12277,41702801,498
2015-01-17 13:00,2015-01-17 14:00,220,449806,1
2015-01-17 14:00,2015-01-17 15:00,191,1066381,1
2015-01-17 15:00,2015-01-17 16:00,139,273226,3
2015-01-17 16:00,2015-01-17 17:00,41,111200,4
2015-01-17 17:00,2015-01-17 18:00,412,1490956,5
2015-01-17 18:00,2015-01-17 19:00,146,240131,1
2015-01-17 19:00,2015-01-17 20:00,179,670815,2
2015-01-17 20:00,2015-01-17 21:00,114,324732,1
2015-01-18 07:00,2015-01-18 08:00,2135,7636954,60
2015-01-18 08:00,2015-01-18 09:00,273,521182,2
2015-01-18 09:00,2015-01-18 10:00,747,3017016,28
2015-01-18 10:00,2015-01-18 11:00,664,7783744,28
2015-01-18 12:00,2015-01-18 13:00,3069,8395472,27
2015-01-18 13:00,2015-01-18 14:00,1167,2500453,16
2015-01-18 14:00,2015-01-18 15:00,1388,3668961,26
2015-01-18 15:00,2015-01-18 16:00,5546,20019613,261
2015-01-18 17:00,2015-01-18 18:00,926,2792567,14
2015-01-18 19:00,2015-01-18 20:00,5397,21226719,136
2015-01-19 01:00,2015-01-19 02:00,2563,6764790,28
2015-01-19 02:00,2015-01-19 03:00,343,956804,1
2015-01-19 03:00,2015-01-19 04:00,186,394765,2
2015-01-19 04:00,2015-01-19 05:00,226,805312,11
2015-01-19 05:00,2015-01-19 06:00,112,901718,15
2015-01-19 12:00,2015-01-19 13:00,1270,7143003,19
2015-01-19 21:00,2015-01-19 22:00,905,2840098,18
2015-01-19 22:00,2015-01-19 23:00,2393,8068622,32
2015-01-19 23:00,2015-01-20 00:00,96,86217,0
2015-01-20 00:00,2015-01-20 01:00,101,195425,0
2015-01-20 01:00,2015-01-20 02:00,100,259099,0
2015-01-20 02:00,2015-01-20 03:00,87,77497,0
2015-01-20 03:00,2015-01-20 04:00,97,316086,0
2015-01-20 04:00,2015-01-20 05:00,90,208002,4
2015-01-20 05:00,2015-01-20 06:00,85,235372,2
2015-01-20 06:00,2015-01-20 07:00,9,9640,0
2015-01-20 21:00,2015-01-20 22:00,921,5264511,15
2015-01-24 15:00,2015-01-24 16:00,11746,33856221,878
2015-01-25 15:00,2015-01-25 16:00,4458,11329374,39
2015-02-02 05:00,2015-02-02 06:00,404,6694584,10
2015-02-02 10:00,2015-02-02 11:00,129773,704387793,10005
2015-02-02 11:00,2015-02-02 12:00,1228,5132228,19
2015-02-02 12:00,2015-02-02 13:00,1523,6250161,20
2015-02-02 13:00,2015-02-02 14:00,1231,4510004,10
